MarkerName,Effect,StdErr,P-value,Direction,HetISq,HetChiSq,HetDf,HetPVal,CpG_chrm,CpG_beg,CpG_end,probe_strand,genesUniq,geneNames,transcriptTypes,transcriptIDs,distToTSS,CGI,CGIposition,snpID,snpChrm,snpEnd,snpRef,snpAlt,GAN,GAC,GAF,distance
cg242,0.7145,0.2637,0.006739,++,0,0.238,1,0.6259,,,,,,,,,,,,,,,,,,,,
cg4606,-0.6718,0.2482,0.006787,+-,0,0.633,1,0.4261,,,,,,,,,,,,,,,,,,,,
cg3231,-0.4247,0.1569,0.0068,--,0,0.034,1,0.8542,,,,,,,,,,,,,,,,,,,,
cg3630,0.8198,0.3029,0.006808,++,0,0.3,1,0.5842,,,,,,,,,,,,,,,,,,,,
cg4336,-0.7255,0.2683,0.006854,--,0,0.232,1,0.6304,,,,,,,,,,,,,,,,,,,,
cg2115,0.1881,0.0696,0.006868,++,11.9,1.135,1,0.2867,,,,,,,,,,,,,,,,,,,,
cg1798,-0.5511,0.2041,0.006925,--,0,0.235,1,0.6276,,,,,,,,,,,,,,,,,,,,
cg4782,0.8702,0.3225,0.006976,++,55.7,2.259,1,0.1328,,,,,,,,,,,,,,,,,,,,
cg53,-0.4777,0.1772,0.007021,--,0,0.334,1,0.5633,,,,,,,,,,,,,,,,,,,,
cg4267,0.4135,0.1534,0.007029,++,0,0.225,1,0.6353,,,,,,,,,,,,,,,,,,,,
cg1576,-0.7603,0.2821,0.007036,--,54.3,2.186,1,0.1393,,,,,,,,,,,,,,,,,,,,
cg3063,-0.6366,0.2363,0.007047,--,30,1.429,1,0.232,,,,,,,,,,,,,,,,,,,,
cg2342,0.5859,0.2176,0.007091,+-,0,0.478,1,0.4896,,,,,,,,,,,,,,,,,,,,
cg2627,0.5467,0.2032,0.007138,++,0,0.007,1,0.9342,,,,,,,,,,,,,,,,,,,,
cg2702,0.7238,0.2691,0.007155,++,0,0.058,1,0.8104,,,,,,,,,,,,,,,,,,,,
cg2750,-0.5567,0.2071,0.007174,--,0,0.011,1,0.917,,,,,,,,,,,,,,,,,,,,
cg3652,-0.1196,0.0445,0.007183,--,0,0.759,1,0.3837,,,,,,,,,,,,,,,,,,,,
cg481,0.4872,0.1812,0.007185,-+,44.6,1.805,1,0.1791,,,,,,,,,,,,,,,,,,,,
cg4056,-0.7995,0.2974,0.007193,--,0,0.052,1,0.8189,,,,,,,,,,,,,,,,,,,,
cg384,-0.6274,0.2337,0.007266,-+,82.4,5.682,1,0.01714,,,,,,,,,,,,,,,,,,,,
cg1738,0.4126,0.1537,0.007273,++,94.1,17.029,1,3.682e-05,,,,,,,,,,,,,,,,,,,,
cg2091,-0.7192,0.268,0.007284,--,0,0.248,1,0.6187,,,,,,,,,,,,,,,,,,,,
cg787,-0.3572,0.1335,0.007462,+-,48.9,1.957,1,0.1618,,,,,,,,,,,,,,,,,,,,
cg3950,0.2279,0.0852,0.007468,++,91.6,11.853,1,0.0005756,,,,,,,,,,,,,,,,,,,,
cg2669,0.7244,0.2709,0.007491,++,0,0.393,1,0.5308,,,,,,,,,,,,,,,,,,,,
cg147,0.2206,0.0826,0.007546,-+,87,7.689,1,0.005555,,,,,,,,,,,,,,,,,,,,
cg4796,-0.6052,0.2265,0.007546,--,0,0,1,0.9941,,,,,,,,,,,,,,,,,,,,
cg2531,0.2968,0.1111,0.007567,++,0,0.032,1,0.8576,,,,,,,,,,,,,,,,,,,,
cg2290,0.4718,0.1767,0.007572,++,0,0.018,1,0.8928,,,,,,,,,,,,,,,,,,,,
cg423,-0.71,0.2668,0.007781,-+,91.6,11.969,1,0.0005411,,,,,,,,,,,,,,,,,,,,
cg2495,-0.4462,0.1677,0.007793,--,0,0.45,1,0.5025,,,,,,,,,,,,,,,,,,,,
cg4138,0.2366,0.089,0.007828,-+,0,0.178,1,0.673,,,,,,,,,,,,,,,,,,,,
cg1032,0.2733,0.1029,0.007894,-+,84.8,6.59,1,0.01026,,,,,,,,,,,,,,,,,,,,
cg3823,0.6916,0.2604,0.007914,++,0,0.305,1,0.5805,,,,,,,,,,,,,,,,,,,,
cg2906,-0.1556,0.0587,0.008,+-,0,0.384,1,0.5352,,,,,,,,,,,,,,,,,,,,
cg480,-0.267,0.1007,0.008017,+-,67,3.033,1,0.0816,,,,,,,,,,,,,,,,,,,,
cg1796,-0.5357,0.2021,0.008024,--,0,0.003,1,0.96,,,,,,,,,,,,,,,,,,,,
cg2602,-0.2186,0.0826,0.008106,+-,60.9,2.561,1,0.1096,,,,,,,,,,,,,,,,,,,,
cg729,-0.8565,0.3236,0.00813,--,0,0.153,1,0.6956,,,,,,,,,,,,,,,,,,,,
cg1992,-0.4989,0.1885,0.008138,--,0,0.022,1,0.8832,,,,,,,,,,,,,,,,,,,,
cg3077,-0.4897,0.1851,0.008154,--,0,0.186,1,0.666,,,,,,,,,,,,,,,,,,,,
cg1670,-1.1597,0.4383,0.008155,--,44.9,1.816,1,0.1778,,,,,,,,,,,,,,,,,,,,
cg182,-0.7564,0.2863,0.008255,--,43.7,1.775,1,0.1828,,,,,,,,,,,,,,,,,,,,
cg4690,-0.6104,0.2311,0.008277,--,70.3,3.368,1,0.06649,,,,,,,,,,,,,,,,,,,,
cg3239,-0.3663,0.1387,0.008286,--,0,0.025,1,0.8733,,,,,,,,,,,,,,,,,,,,
cg642,-0.3257,0.1234,0.008295,--,0,0.015,1,0.9025,,,,,,,,,,,,,,,,,,,,
cg2683,-0.6182,0.2343,0.008313,--,48,1.923,1,0.1656,,,,,,,,,,,,,,,,,,,,
cg4578,0.2283,0.0866,0.008395,-+,0,0.856,1,0.3549,,,,,,,,,,,,,,,,,,,,
cg3558,-0.3725,0.1414,0.00841,--,0,0,1,0.9823,,,,,,,,,,,,,,,,,,,,
cg4098,1.0125,0.385,0.008539,+-,69.9,3.324,1,0.06827,,,,,,,,,,,,,,,,,,,,
cg2398,-0.5397,0.2053,0.008554,--,0,0.014,1,0.9073,,,,,,,,,,,,,,,,,,,,
cg3064,0.4246,0.1617,0.008624,-+,0,0.434,1,0.51,,,,,,,,,,,,,,,,,,,,
cg4064,-0.5501,0.2095,0.008649,--,0,0.015,1,0.9038,,,,,,,,,,,,,,,,,,,,
cg4334,-0.7881,0.301,0.008827,--,0,0.484,1,0.4866,,,,,,,,,,,,,,,,,,,,
cg433,-0.5584,0.2135,0.008907,--,0,0.182,1,0.6695,,,,,,,,,,,,,,,,,,,,
cg1350,-0.4727,0.1807,0.008909,--,0,0.341,1,0.5591,,,,,,,,,,,,,,,,,,,,
cg2727,-0.4835,0.1849,0.008933,--,27.4,1.377,1,0.2407,,,,,,,,,,,,,,,,,,,,
cg56,0.3997,0.153,0.008985,++,0,0.038,1,0.8453,,,,,,,,,,,,,,,,,,,,
cg4538,0.7566,0.2897,0.009026,++,0,0,1,0.9975,,,,,,,,,,,,,,,,,,,,
cg46,-0.2777,0.1064,0.009075,+-,0,0.092,1,0.7617,,,,,,,,,,,,,,,,,,,,
cg2183,-0.5299,0.2032,0.009129,--,0,0.198,1,0.6564,,,,,,,,,,,,,,,,,,,,
cg2593,-0.7381,0.2834,0.009206,-+,11.2,1.126,1,0.2885,,,,,,,,,,,,,,,,,,,,
cg3902,0.7895,0.3035,0.009286,++,11.2,1.126,1,0.2885,,,,,,,,,,,,,,,,,,,,
cg621,-0.8071,0.3103,0.009297,--,0,0.478,1,0.4894,,,,,,,,,,,,,,,,,,,,
cg4257,-0.5892,0.227,0.009455,+-,0,0.538,1,0.4632,,,,,,,,,,,,,,,,,,,,
cg3114,-0.7368,0.284,0.009474,+-,63.6,2.744,1,0.09763,,,,,,,,,,,,,,,,,,,,
cg2642,0.6523,0.2514,0.009475,++,0,0.151,1,0.6973,,,,,,,,,,,,,,,,,,,,
cg2481,0.486,0.1879,0.009701,-+,73.7,3.797,1,0.05134,,,,,,,,,,,,,,,,,,,,
cg165,-0.6779,0.2622,0.009731,--,11.1,1.125,1,0.2888,,,,,,,,,,,,,,,,,,,,
cg4967,0.4443,0.1719,0.009737,++,0,0.056,1,0.8127,,,,,,,,,,,,,,,,,,,,
cg4833,-0.2541,0.0983,0.009752,+-,34.7,1.532,1,0.2158,,,,,,,,,,,,,,,,,,,,
cg366,-0.4115,0.1593,0.009783,-+,80.1,5.022,1,0.02503,,,,,,,,,,,,,,,,,,,,
cg4415,0.2591,0.1003,0.009783,++,0,0.185,1,0.6671,,,,,,,,,,,,,,,,,,,,
cg3985,0.5323,0.2062,0.009829,+-,15.4,1.183,1,0.2768,,,,,,,,,,,,,,,,,,,,
cg811,-0.1082,0.0419,0.009832,--,53.1,2.134,1,0.144,,,,,,,,,,,,,,,,,,,,
cg1419,0.8847,0.3432,0.009931,++,0,0.67,1,0.4132,,,,,,,,,,,,,,,,,,,,
cg508,0.6157,0.2391,0.01004,-+,0,0.611,1,0.4345,,,,,,,,,,,,,,,,,,,,
cg1870,-0.3298,0.1281,0.01004,+-,93.4,15.133,1,0.0001002,,,,,,,,,,,,,,,,,,,,
cg2526,0.4139,0.1608,0.01005,-+,64.1,2.783,1,0.09529,,,,,,,,,,,,,,,,,,,,
cg3235,0.4555,0.1771,0.01012,-+,0,0.935,1,0.3335,,,,,,,,,,,,,,,,,,,,
cg3680,-0.7582,0.2951,0.01019,--,0,0.4,1,0.527,,,,,,,,,,,,,,,,,,,,
cg188,-0.1841,0.0717,0.01024,--,0,0.009,1,0.9242,,,,,,,,,,,,,,,,,,,,
cg3571,-0.6074,0.2366,0.01024,+-,39.2,1.645,1,0.1996,,,,,,,,,,,,,,,,,,,,
cg1755,0.1989,0.0775,0.01026,-+,0,0.81,1,0.3681,,,,,,,,,,,,,,,,,,,,
cg4890,0.4418,0.1722,0.01028,-+,40.7,1.687,1,0.194,,,,,,,,,,,,,,,,,,,,
cg340,-0.5642,0.2203,0.01042,--,0,0,1,0.9845,,,,,,,,,,,,,,,,,,,,
cg1102,-0.2328,0.091,0.0105,--,0,0.124,1,0.7244,,,,,,,,,,,,,,,,,,,,
cg4580,0.333,0.1301,0.01051,++,79,4.766,1,0.02902,,,,,,,,,,,,,,,,,,,,
cg1153,-0.6375,0.2498,0.01072,+-,0,0.601,1,0.4382,,,,,,,,,,,,,,,,,,,,
cg2576,-0.3527,0.1382,0.01074,--,0,0.937,1,0.333,,,,,,,,,,,,,,,,,,,,
cg2438,0.1455,0.0571,0.01086,++,0,0.004,1,0.9478,,,,,,,,,,,,,,,,,,,,
cg1092,0.6119,0.2403,0.01087,++,0,0.538,1,0.4635,,,,,,,,,,,,,,,,,,,,
cg3550,0.5838,0.2297,0.01101,++,0,0.537,1,0.4635,,,,,,,,,,,,,,,,,,,,
cg3400,0.5753,0.2264,0.01105,++,0,0.042,1,0.8375,,,,,,,,,,,,,,,,,,,,
cg2083,0.6624,0.2608,0.0111,++,68.5,3.171,1,0.07497,,,,,,,,,,,,,,,,,,,,
cg1500,0.3143,0.1239,0.01117,++,68.3,3.152,1,0.07581,,,,,,,,,,,,,,,,,,,,
cg4451,0.3363,0.1326,0.0112,++,0,0.136,1,0.7122,,,,,,,,,,,,,,,,,,,,
cg3613,-0.1972,0.078,0.01146,+-,0,0.258,1,0.6115,,,,,,,,,,,,,,,,,,,,
cg1010,-0.2895,0.1147,0.01162,+-,0,0.911,1,0.3399,,,,,,,,,,,,,,,,,,,,
cg4055,-0.7614,0.302,0.01169,--,0,0.018,1,0.894,,,,,,,,,,,,,,,,,,,,
cg3090,0.6059,0.2404,0.01172,-+,0,0.522,1,0.47,,,,,,,,,,,,,,,,,,,,
cg4596,-0.2191,0.0871,0.01185,+-,67.2,3.046,1,0.08092,,,,,,,,,,,,,,,,,,,,
cg43,-0.8966,0.3565,0.0119,--,0,0.945,1,0.331,,,,,,,,,,,,,,,,,,,,
cg3433,-0.368,0.1464,0.01196,--,0,0.047,1,0.8277,,,,,,,,,,,,,,,,,,,,
cg3133,0.3051,0.1215,0.01202,-+,19.4,1.24,1,0.2654,,,,,,,,,,,,,,,,,,,,
cg1674,0.2363,0.0941,0.01204,++,0,0.107,1,0.7434,,,,,,,,,,,,,,,,,,,,
cg838,-0.1084,0.0432,0.0121,--,0,0.288,1,0.5915,,,,,,,,,,,,,,,,,,,,
cg115,0.709,0.2826,0.0121,++,29.9,1.426,1,0.2324,,,,,,,,,,,,,,,,,,,,
cg2630,-0.504,0.2015,0.01238,+-,29.2,1.413,1,0.2346,,,,,,,,,,,,,,,,,,,,
cg4798,0.5477,0.2193,0.01249,++,0,0.146,1,0.7021,,,,,,,,,,,,,,,,,,,,
cg4801,0.7631,0.3057,0.01255,++,0,0.376,1,0.5395,,,,,,,,,,,,,,,,,,,,
cg3588,0.6045,0.2422,0.01257,-+,85,6.651,1,0.00991,,,,,,,,,,,,,,,,,,,,
cg4192,0.4467,0.1792,0.01269,++,0,0.062,1,0.8038,,,,,,,,,,,,,,,,,,,,
cg1294,-0.5542,0.2227,0.01283,--,0,0.369,1,0.5437,,,,,,,,,,,,,,,,,,,,
cg2357,0.6455,0.2595,0.01286,++,0,0.045,1,0.8319,,,,,,,,,,,,,,,,,,,,
cg1976,-0.2496,0.1004,0.01286,--,0,0.005,1,0.9435,,,,,,,,,,,,,,,,,,,,
cg2087,0.4496,0.1808,0.01287,-+,0,0.87,1,0.3509,,,,,,,,,,,,,,,,,,,,
cg4739,0.0669,0.0269,0.01295,++,0,0.31,1,0.5776,,,,,,,,,,,,,,,,,,,,
cg3240,0.21,0.0845,0.01296,-+,20.3,1.255,1,0.2625,,,,,,,,,,,,,,,,,,,,
cg2016,-0.2239,0.0902,0.013,--,0,0.005,1,0.9428,,,,,,,,,,,,,,,,,,,,
cg3951,-0.6786,0.2736,0.01314,--,77.9,4.531,1,0.0333,,,,,,,,,,,,,,,,,,,,
cg641,0.8537,0.3443,0.01315,+-,83.7,6.127,1,0.01331,,,,,,,,,,,,,,,,,,,,
cg1183,0.5464,0.2204,0.01315,++,77.1,4.366,1,0.03666,,,,,,,,,,,,,,,,,,,,
cg1272,0.9809,0.3956,0.01316,++,32.8,1.488,1,0.2226,,,,,,,,,,,,,,,,,,,,
cg3800,-0.7793,0.3147,0.01326,--,0,0.243,1,0.6221,,,,,,,,,,,,,,,,,,,,
cg2773,0.6962,0.2813,0.01333,++,0,0.002,1,0.9688,,,,,,,,,,,,,,,,,,,,
cg1555,-0.1,0.0404,0.01333,+-,32.1,1.473,1,0.2248,,,,,,,,,,,,,,,,,,,,
cg3140,-0.796,0.3217,0.01335,--,0,0.26,1,0.6104,,,,,,,,,,,,,,,,,,,,
cg312,0.6354,0.2569,0.01337,++,0,0.168,1,0.6815,,,,,,,,,,,,,,,,,,,,
cg1278,-0.8122,0.3284,0.0134,--,0,0.267,1,0.6056,,,,,,,,,,,,,,,,,,,,
cg4911,-0.5121,0.2072,0.01344,--,0,0.941,1,0.332,,,,,,,,,,,,,,,,,,,,
cg1765,-0.7245,0.2932,0.01349,--,0,0.011,1,0.917,,,,,,,,,,,,,,,,,,,,
cg2730,0.5848,0.2368,0.01354,+-,91.8,12.192,1,0.0004799,,,,,,,,,,,,,,,,,,,,
cg2451,0.219,0.0887,0.01359,++,0,0.247,1,0.6189,,,,,,,,,,,,,,,,,,,,
cg851,0.219,0.0887,0.0136,++,0,0.014,1,0.9058,,,,,,,,,,,,,,,,,,,,
cg3928,0.4097,0.1662,0.01368,-+,87.9,8.298,1,0.003969,,,,,,,,,,,,,,,,,,,,
cg4525,-0.19,0.0771,0.0137,+-,0,0.839,1,0.3596,,,,,,,,,,,,,,,,,,,,
cg13,0.4706,0.1909,0.01371,++,0,0.014,1,0.9071,,,,,,,,,,,,,,,,,,,,
cg2296,-0.3059,0.1242,0.01377,--,0,0.07,1,0.7917,,,,,,,,,,,,,,,,,,,,
cg3916,1.052,0.4271,0.01377,++,0,0.518,1,0.4717,,,,,,,,,,,,,,,,,,,,
cg602,0.5195,0.211,0.01382,+-,72.3,3.613,1,0.05732,,,,,,,,,,,,,,,,,,,,
cg4121,0.4023,0.1635,0.01385,-+,0,0.508,1,0.4762,,,,,,,,,,,,,,,,,,,,
cg1264,-0.5105,0.2076,0.01393,--,0,0.244,1,0.6212,,,,,,,,,,,,,,,,,,,,
cg916,-0.5247,0.2135,0.01399,+-,0,0.48,1,0.4884,,,,,,,,,,,,,,,,,,,,
cg4382,-0.6246,0.2544,0.01408,--,0,0.511,1,0.4746,,,,,,,,,,,,,,,,,,,,
cg2782,-0.4751,0.1937,0.01419,+-,42.5,1.74,1,0.1872,,,,,,,,,,,,,,,,,,,,
cg3655,-0.554,0.226,0.01424,--,0,0.034,1,0.854,,,,,,,,,,,,,,,,,,,,
cg3157,0.6702,0.2738,0.01439,++,0,0.008,1,0.9304,,,,,,,,,,,,,,,,,,,,
cg2038,0.47,0.1923,0.01451,++,0,0.181,1,0.6702,,,,,,,,,,,,,,,,,,,,
cg1426,-0.4155,0.1701,0.01458,+-,62,2.631,1,0.1048,,,,,,,,,,,,,,,,,,,,
cg1890,-0.0445,0.0182,0.01461,+-,0,0.034,1,0.8539,,,,,,,,,,,,,,,,,,,,
cg2378,0.5415,0.2218,0.01463,+-,84.8,6.59,1,0.01025,,,,,,,,,,,,,,,,,,,,
cg3839,0.7884,0.3229,0.01463,++,70.4,3.377,1,0.06613,,,,,,,,,,,,,,,,,,,,
cg4539,0.2882,0.1181,0.0147,++,0,0.446,1,0.5041,,,,,,,,,,,,,,,,,,,,
cg3009,-0.8876,0.3645,0.01489,--,0,0.365,1,0.546,,,,,,,,,,,,,,,,,,,,
cg900,0.5273,0.2166,0.01491,-+,44.3,1.796,1,0.1802,,,,,,,,,,,,,,,,,,,,
cg5,0.2507,0.1031,0.01499,++,0,0.164,1,0.6858,,,,,,,,,,,,,,,,,,,,
cg694,-0.4779,0.1965,0.01501,+-,82.6,5.75,1,0.01649,,,,,,,,,,,,,,,,,,,,
cg3788,0.6954,0.2859,0.01501,++,0,0.752,1,0.3857,,,,,,,,,,,,,,,,,,,,
cg2390,0.6742,0.2775,0.01511,+-,86.5,7.393,1,0.006548,,,,,,,,,,,,,,,,,,,,
cg4533,-0.455,0.1874,0.01521,--,0,0.254,1,0.6142,,,,,,,,,,,,,,,,,,,,
cg4413,-0.4743,0.1957,0.01537,--,0,0.219,1,0.6399,,,,,,,,,,,,,,,,,,,,
cg1173,0.2905,0.1199,0.0154,++,0,0.885,1,0.3468,,,,,,,,,,,,,,,,,,,,
cg1101,0.4058,0.1676,0.01549,++,49.2,1.97,1,0.1605,,,,,,,,,,,,,,,,,,,,
cg3584,-0.794,0.328,0.0155,--,5.5,1.059,1,0.3036,,,,,,,,,,,,,,,,,,,,
cg3735,0.1866,0.0772,0.01566,-+,0,0.109,1,0.7414,,,,,,,,,,,,,,,,,,,,
cg2111,0.5348,0.2213,0.01567,-+,69.2,3.243,1,0.07172,,,,,,,,,,,,,,,,,,,,
cg4949,0.6216,0.2574,0.01573,++,0,0.107,1,0.7434,,,,,,,,,,,,,,,,,,,,
cg1516,0.6798,0.2818,0.01585,+-,84.8,6.582,1,0.0103,,,,,,,,,,,,,,,,,,,,
cg4423,0.4847,0.2011,0.01594,-+,79.1,4.795,1,0.02854,,,,,,,,,,,,,,,,,,,,
cg1050,0.9954,0.4143,0.01628,++,0,0.118,1,0.7317,,,,,,,,,,,,,,,,,,,,
cg1327,-0.2716,0.1131,0.01635,+-,24.9,1.332,1,0.2485,,,,,,,,,,,,,,,,,,,,
cg3553,-0.4825,0.2011,0.01644,--,0,0.392,1,0.5311,,,,,,,,,,,,,,,,,,,,
cg4591,0.3721,0.1554,0.01663,++,0,0.373,1,0.5414,,,,,,,,,,,,,,,,,,,,
cg2909,-1.055,0.4408,0.0167,--,19,1.234,1,0.2667,,,,,,,,,,,,,,,,,,,,
cg527,0.7316,0.306,0.0168,++,62.8,2.692,1,0.1009,,,,,,,,,,,,,,,,,,,,
cg1394,0.477,0.1997,0.01691,++,86.9,7.662,1,0.00564,,,,,,,,,,,,,,,,,,,,
cg1625,-0.5196,0.2178,0.01708,+-,65,2.858,1,0.0909,,,,,,,,,,,,,,,,,,,,
cg1243,-0.7129,0.299,0.01713,--,0,0.577,1,0.4475,,,,,,,,,,,,,,,,,,,,
cg78,-0.4083,0.1715,0.01725,-+,93.3,14.851,1,0.0001163,,,,,,,,,,,,,,,,,,,,
cg2976,0.4852,0.2041,0.01743,++,0,0.003,1,0.9569,,,,,,,,,,,,,,,,,,,,
cg748,-0.6953,0.2928,0.01754,--,0,0.246,1,0.6202,,,,,,,,,,,,,,,,,,,,
cg4499,0.7574,0.319,0.01758,++,0,0.202,1,0.6527,,,,,,,,,,,,,,,,,,,,
cg4132,-0.3766,0.1587,0.01767,--,0,0.048,1,0.8263,,,,,,,,,,,,,,,,,,,,
cg3484,0.2613,0.1102,0.01768,++,0,0.787,1,0.375,,,,,,,,,,,,,,,,,,,,
cg4239,-0.5836,0.2461,0.01771,+-,61.1,2.568,1,0.109,,,,,,,,,,,,,,,,,,,,
cg677,0.3528,0.1488,0.01776,-+,48.8,1.953,1,0.1623,,,,,,,,,,,,,,,,,,,,
cg2092,0.1054,0.0445,0.01795,-+,74,3.841,1,0.05001,,,,,,,,,,,,,,,,,,,,
cg3149,-0.4491,0.1901,0.01815,--,0,0.006,1,0.9398,,,,,,,,,,,,,,,,,,,,
cg1860,-0.7146,0.3033,0.01846,--,0,0.031,1,0.8613,,,,,,,,,,,,,,,,,,,,
cg2251,0.4516,0.1926,0.019,-+,87.2,7.787,1,0.005263,,,,,,,,,,,,,,,,,,,,
cg2650,0.2098,0.0895,0.01904,-+,53.1,2.132,1,0.1442,,,,,,,,,,,,,,,,,,,,
cg3896,0.5007,0.2137,0.01915,++,0,0.823,1,0.3644,,,,,,,,,,,,,,,,,,,,
cg4148,0.685,0.2926,0.01924,-+,27.9,1.387,1,0.2389,,,,,,,,,,,,,,,,,,,,
cg1368,-0.3391,0.1449,0.01926,+-,0,0.321,1,0.571,,,,,,,,,,,,,,,,,,,,
cg1160,-0.3876,0.166,0.01956,+-,28.4,1.397,1,0.2372,,,,,,,,,,,,,,,,,,,,
cg4076,0.2063,0.0885,0.01972,-+,0,0.438,1,0.5079,,,,,,,,,,,,,,,,,,,,
cg1993,0.8207,0.3523,0.01981,++,24,1.317,1,0.2512,,,,,,,,,,,,,,,,,,,,
cg4153,-0.4788,0.2055,0.01984,--,0,0.446,1,0.504,,,,,,,,,,,,,,,,,,,,
cg3960,-0.3042,0.1306,0.01985,+-,48.4,1.936,1,0.1641,,,,,,,,,,,,,,,,,,,,
cg2347,0.8691,0.3739,0.0201,++,0,0.035,1,0.8507,,,,,,,,,,,,,,,,,,,,
cg446,-0.432,0.1862,0.02034,--,0,0.022,1,0.8824,,,,,,,,,,,,,,,,,,,,
cg2362,0.2885,0.1246,0.02054,++,0,0.005,1,0.9429,,,,,,,,,,,,,,,,,,,,
cg713,-0.1635,0.0706,0.02058,+-,30.7,1.443,1,0.2297,,,,,,,,,,,,,,,,,,,,
cg2815,-0.5372,0.2321,0.02061,--,0,0.005,1,0.9429,,,,,,,,,,,,,,,,,,,,
cg1924,-0.4258,0.184,0.02067,+-,0,0.329,1,0.566,,,,,,,,,,,,,,,,,,,,
cg1111,-0.424,0.1833,0.02068,--,0,0,1,0.9866,,,,,,,,,,,,,,,,,,,,
cg4111,0.1808,0.0782,0.02071,-+,65.8,2.926,1,0.08715,,,,,,,,,,,,,,,,,,,,
cg1687,-0.5438,0.2357,0.02102,+-,0,0.563,1,0.4531,,,,,,,,,,,,,,,,,,,,
cg4736,0.5706,0.2472,0.02102,+-,85.1,6.696,1,0.009661,,,,,,,,,,,,,,,,,,,,
cg3481,-0.5365,0.2326,0.02106,--,0,0.262,1,0.6087,,,,,,,,,,,,,,,,,,,,
cg741,0.171,0.0742,0.02113,++,0,0.01,1,0.9221,,,,,,,,,,,,,,,,,,,,
cg2687,0.5591,0.2425,0.02113,++,0,0.015,1,0.9012,,,,,,,,,,,,,,,,,,,,
cg2774,-0.266,0.1154,0.02122,-+,95.3,21.267,1,3.996e-06,,,,,,,,,,,,,,,,,,,,
cg2327,-0.2141,0.093,0.02127,--,12.7,1.145,1,0.2846,,,,,,,,,,,,,,,,,,,,
cg2834,-0.5892,0.256,0.02136,--,18.1,1.22,1,0.2693,,,,,,,,,,,,,,,,,,,,
cg3476,-0.9045,0.393,0.02136,--,0,0.628,1,0.4279,,,,,,,,,,,,,,,,,,,,
cg1452,-0.7358,0.3198,0.0214,--,0,0.018,1,0.892,,,,,,,,,,,,,,,,,,,,
cg2799,-0.3466,0.1507,0.02147,+-,0,0.179,1,0.6725,,,,,,,,,,,,,,,,,,,,
cg50,-0.1922,0.0838,0.02182,+-,95.3,21.239,1,4.054e-06,,,,,,,,,,,,,,,,,,,,
cg4830,-0.3776,0.1646,0.02182,--,0,0.405,1,0.5243,,,,,,,,,,,,,,,,,,,,
cg3984,-0.3899,0.1701,0.02189,--,0,0.463,1,0.4961,,,,,,,,,,,,,,,,,,,,
cg4030,0.3742,0.1633,0.02193,-+,0,0.254,1,0.6142,,,,,,,,,,,,,,,,,,,,
cg152,-0.728,0.3177,0.02194,--,0,0.276,1,0.5994,,,,,,,,,,,,,,,,,,,,
cg1104,0.3363,0.1469,0.02205,++,0,0.104,1,0.7469,,,,,,,,,,,,,,,,,,,,
cg4787,-0.7325,0.32,0.02209,--,0,0.068,1,0.7943,,,,,,,,,,,,,,,,,,,,
cg2712,-0.6973,0.3049,0.02218,--,0,0.177,1,0.6735,,,,,,,,,,,,,,,,,,,,
cg737,-0.4614,0.2018,0.02223,-+,94.9,19.442,1,1.037e-05,,,,,,,,,,,,,,,,,,,,
cg201,0.7567,0.3311,0.02229,++,34.9,1.537,1,0.215,,,,,,,,,,,,,,,,,,,,
cg3965,-0.3184,0.1394,0.02237,--,0,0.002,1,0.9621,,,,,,,,,,,,,,,,,,,,
cg2375,-0.1876,0.0822,0.02241,--,0,0.108,1,0.7427,,,,,,,,,,,,,,,,,,,,
cg2655,-0.3328,0.1458,0.02246,--,0,0.682,1,0.409,,,,,,,,,,,,,,,,,,,,
cg1904,0.8417,0.3689,0.0225,++,44.9,1.816,1,0.1778,,,,,,,,,,,,,,,,,,,,
cg3871,0.3898,0.1709,0.02258,-+,46.9,1.885,1,0.1698,,,,,,,,,,,,,,,,,,,,
cg3809,0.7667,0.3363,0.02263,++,54.1,2.18,1,0.1398,,,,,,,,,,,,,,,,,,,,
cg3371,-0.4463,0.1958,0.02264,--,82.9,5.858,1,0.01551,,,,,,,,,,,,,,,,,,,,
cg4198,0.7659,0.336,0.02264,++,0,0.793,1,0.3733,,,,,,,,,,,,,,,,,,,,
cg1151,0.3244,0.1424,0.02273,++,84.7,6.553,1,0.01047,,,,,,,,,,,,,,,,,,,,
cg1378,0.1074,0.0472,0.02277,-+,56.7,2.312,1,0.1284,,,,,,,,,,,,,,,,,,,,
cg1926,0.1635,0.0719,0.02301,++,90.5,10.534,1,0.001172,,,,,,,,,,,,,,,,,,,,
cg904,-0.2478,0.1091,0.02307,+-,0,0.448,1,0.5035,,,,,,,,,,,,,,,,,,,,
cg3604,-0.3538,0.1558,0.0232,--,0,0.562,1,0.4536,,,,,,,,,,,,,,,,,,,,
cg806,-0.5293,0.2333,0.02328,--,28.6,1.401,1,0.2365,,,,,,,,,,,,,,,,,,,,
cg3958,-0.4677,0.2062,0.0233,+-,63.8,2.76,1,0.09663,,,,,,,,,,,,,,,,,,,,
cg4751,-0.3288,0.145,0.02338,--,0,0.033,1,0.8562,,,,,,,,,,,,,,,,,,,,
cg2732,0.406,0.1792,0.02349,-+,0,0.707,1,0.4005,,,,,,,,,,,,,,,,,,,,
